,calories,cal_fat,total_fat,sat_fat,trans_fat,cholesterol,sodium,total_carb,fiber,sugar,protein,vit_a,vit_c,calcium,restaurant,item
14,250,70,8,3.0,0.0,30,480,31,2.0,6,13.0,2.0,2.0,4.0,Mcdonalds,Hamburger
15,290,50,5,1.5,0.0,65,630,35,2.0,3,24.0,4.0,6.0,15.0,Mcdonalds,Lobster Roll
16,640,330,36,14.0,1.5,110,1260,40,3.0,10,37.0,6.0,15.0,15.0,Mcdonalds,Maple Bacon Dijon 1/4 lb Burger
17,580,190,21,8.0,0.0,135,1890,50,3.0,14,48.0,4.0,30.0,30.0,Mcdonalds,Grilled Maple Bacon Dijon Chicken Sandwich
18,740,310,35,9.0,0.5,95,1780,69,5.0,14,39.0,4.0,20.0,290.0,Mcdonalds,Crispy Maple Bacon Dijon Chicken Sandwich
19,350,130,15,3.5,0.0,40,600,40,2.0,5,15.0,2.0,2.0,4.0,Mcdonalds,McChicken
20,380,160,18,8.0,1.0,70,840,34,2.0,7,23.0,10.0,2.0,10.0,Mcdonalds,McDouble
21,480,200,22,7.0,0.0,80,870,45,2.0,12,25.0,2.0,2.0,6.0,Mcdonalds,McRib
22,580,300,33,12.0,1.5,95,920,41,4.0,7,29.0,8.0,15.0,15.0,Mcdonalds,Pico Guacamole 1/4 lb Burger
23,520,160,18,6.0,0.0,115,1540,50,4.0,12,40.0,8.0,25.0,30.0,Mcdonalds,Grilled Pico Guacamole Chicken Sandwich
24,680,280,32,7.0,0.0,80,1430,69,6.0,12,31.0,8.0,15.0,30.0,Mcdonalds,Crispy Pico Guacamole Chicken Sandwich
25,570,200,23,5.0,0.0,60,1050,64,4.0,11,28.0,4.0,10.0,20.0,Mcdonalds,Premium Buttermilk Crispy Chicken Deluxe Sandwich
26,530,200,22,4.0,0.0,45,1000,59,3.0,13,25.0,6.0,10.0,20.0,Mcdonalds,Premium Crispy Chicken Deluxe Sandwich
27,530,240,27,13.0,1.5,100,1090,41,3.0,10,31.0,20.0,6.0,15.0,Mcdonalds,Quarter Pounder® with Cheese
28,670,320,35,12.0,1.5,95,1010,56,4.0,13,32.0,20.0,15.0,30.0,Mcdonalds,Signature Sriracha Burger
29,560,180,20,5.0,0.0,115,1550,56,4.0,14,41.0,20.0,25.0,30.0,Mcdonalds,Grilled Signature Sriracha Chicken Sandwich
30,730,300,33,7.0,0.0,80,1430,75,5.0,13,32.0,20.0,20.0,30.0,Mcdonalds,Crispy Signature Sriracha Chicken Sandwich
31,690,340,37,14.0,1.5,110,1310,51,3.0,14,38.0,6.0,15.0,15.0,Mcdonalds,Sweet BBQ Bacon 1/4 lb Burger
32,630,200,22,7.0,0.0,135,1930,61,4.0,18,48.0,4.0,30.0,25.0,Mcdonalds,Grilled Sweet BBQ Bacon Chicken Sandwich
33,800,320,36,9.0,0.5,95,1820,80,5.0,18,39.0,4.0,20.0,30.0,Mcdonalds,Crispy Sweet BBQ Bacon Chicken Sandwich
34,370,190,21,3.5,0.0,70,910,16,0.0,0,28.0,0.0,0.0,2.0,Mcdonalds,3 piece Buttermilk Crispy Chicken Tenders
35,480,250,28,4.5,0.0,95,1290,21,0.0,1,38.0,0.0,0.0,2.0,Mcdonalds,4 piece Buttermilk Crispy Chicken Tenders
36,760,390,44,8.0,0.5,145,1890,32,1.0,1,58.0,0.0,0.0,2.0,Mcdonalds,6 piece Buttermilk Crispy Chicken Tenders
37,1210,630,70,12.0,1.0,240,3230,52,1.0,4,94.0,0.0,0.0,4.0,Mcdonalds,10 piece Buttermilk Crispy Chicken Tenders
38,1510,790,88,15.0,1.0,295,3770,64,1.0,2,115.0,0.0,2.0,6.0,Mcdonalds,12 piece Buttermilk Crispy Chicken Tenders
39,2430,1270,141,24.0,2.0,475,6080,103,2.0,3,186.0,0.0,2.0,8.0,Mcdonalds,20 piece Buttermilk Crispy Chicken Tenders
40,180,100,11,2.0,0.0,30,340,11,1.0,0,10.0,0.0,2.0,0.0,Mcdonalds,4 Piece Chicken McNuggets
41,270,140,16,2.5,0.0,45,510,16,1.0,0,15.0,0.0,2.0,0.0,Mcdonalds,6 Piece Chicken McNuggets
42,440,240,27,4.5,0.0,75,840,26,2.0,0,24.0,0.0,4.0,2.0,Mcdonalds,10 Piece Chicken McNuggets
43,890,480,53,9.0,0.0,145,1680,53,4.0,0,49.0,0.0,8.0,4.0,Mcdonalds,20 Piece Chicken McNuggets
44,1770,960,107,18.0,0.5,295,3370,105,7.0,1,98.0,0.0,15.0,6.0,Mcdonalds,40 piece Chicken McNuggets
45,640,240,27,4.0,0.0,105,1780,63,2.0,35,39.0,4.0,15.0,4.0,Mcdonalds,4 piece Sweet N' Spicy Honey BBQ Glazed Tenders
46,960,360,40,6.0,0.0,160,2670,94,3.0,52,58.0,4.0,25.0,8.0,Mcdonalds,6 piece Sweet N' Spicy Honey BBQ Glazed Tenders
47,1600,600,66,10.0,0.0,265,4450,156,5.0,87,97.0,8.0,40.0,10.0,Mcdonalds,10 piece Sweet N' Spicy Honey BBQ Glazed Tenders
48,140,70,7,0.5,0.0,0,20,13,5.0,7,7.0,180.0,45.0,10.0,Mcdonalds,Premium Asian Salad w/o Chicken
49,270,80,9,1.0,0.0,80,740,18,5.0,10,31.0,180.0,70.0,10.0,Mcdonalds,Premium Asian Salad w/ Grilled Chicken
50,490,250,28,8.0,0.0,95,1120,28,4.0,4,33.0,180.0,60.0,15.0,Mcdonalds,Premium Asian Salad w/ Crispy Chicken
51,190,110,12,5.0,0.0,40,660,9,3.0,3,14.0,180.0,50.0,15.0,Mcdonalds,Premium Bacon Ranch Salad w/o Chicken
52,320,120,14,6.0,0.0,45,1230,9,3.0,4,42.0,180.0,60.0,15.0,Mcdonalds,Premium Bacon Ranch Salad w/ Grilled Chicken
53,490,250,28,8.0,0.0,95,1120,28,4.0,4,33.0,180.0,60.0,15.0,Mcdonalds,Premium Bacon Ranch Salad w/ Crispy Chicken
54,220,90,10,3.5,0.0,15,500,26,6.0,9,8.0,180.0,40.0,20.0,Mcdonalds,Premium Southwest Salad w/o Chicken
55,350,100,12,4.5,0.0,110,1070,27,6.0,9,37.0,180.0,50.0,20.0,Mcdonalds,Premium Southwest Salad w/ Grilled Chicken
56,520,230,25,6.0,0.0,75,960,46,8.0,9,28.0,180.0,40.0,20.0,Mcdonalds,Premium Southwest Salad w/ Crispy Chicken
57,430,144,16,8.0,0.0,85,1120,37,3.0,7,37.0,30.0,40.0,25.0,Chick Fil-A,Chargrilled Chicken Club Sandwich
58,310,54,6,2.0,0.0,55,820,36,3.0,7,29.0,25.0,40.0,10.0,Chick Fil-A,Chargrilled Chicken Sandwich
59,270,99,11,2.5,0.0,45,800,26,1.0,4,16.0,10.0,0.0,2.0,Chick Fil-A,Chick-n-Slider
60,120,54,6,3.0,0.0,25,320,6,0.0,1,11.0,0.0,0.0,2.0,Chick Fil-A,1 Piece Chick-n-Strips
61,230,108,12,3.0,0.0,55,630,13,1.0,1,22.0,0.0,2.0,4.0,Chick Fil-A,2 Piece Chick-n-Strips
62,350,153,17,3.0,0.0,70,940,22,1.0,3,28.0,2.0,2.0,6.0,Chick Fil-A,3 Piece Chick-n-Strips
63,470,207,23,3.0,0.0,90,1250,29,1.0,4,37.0,2.0,4.0,8.0,Chick Fil-A,4 piece Chick-n-Strips
64,500,207,23,7.0,0.0,75,1590,42,3.0,6,31.0,30.0,10.0,20.0,Chick Fil-A,Chicken Deluxe
65,130,54,6,1.5,0.0,40,490,5,1.0,0,14.0,0.0,2.0,2.0,Chick Fil-A,4 piece Chicken Nuggets
66,190,81,9,1.5,0.0,55,730,7,1.0,0,21.0,0.0,4.0,2.0,Chick Fil-A,6 piece Chicken Nuggets
67,260,110,12,3.0,0.0,70,990,9,1.0,1,28.0,0.0,2.0,4.0,Chick Fil-A,8 piece Chicken Nuggets
68,390,162,18,1.5,0.0,115,1460,14,2.0,1,41.0,0.0,8.0,4.0,Chick Fil-A,12 piece Chicken Nuggets
69,970,414,46,2.5,0.0,285,3660,35,4.0,1,103.0,10.0,20.0,10.0,Chick Fil-A,30 piece Chicken Nuggets
70,490,170,19,3.0,0.0,80,1130,55,5.0,12,28.0,35.0,8.0,15.0,Chick Fil-A,Chicken Salad Sandwich
71,440,171,19,4.0,0.0,60,1350,40,2.0,5,28.0,2.0,4.0,15.0,Chick Fil-A,Chicken Sandwich
72,70,18,2,1.0,0.0,35,220,1,0.0,0,13.0,0.0,6.0,0.0,Chick Fil-A,4 Piece Grilled Chicken Nuggets
73,110,27,3,1.0,0.0,50,330,2,0.0,0,19.0,0.0,8.0,0.0,Chick Fil-A,6 Piece Grilled Chicken Nuggets
74,140,36,4,1.0,0.0,70,440,2,0.0,0,25.0,0.0,10.0,2.0,Chick Fil-A,8 piece Grilled Chicken Nuggets
75,210,45,5,1.0,0.0,100,670,3,0.0,1,38.0,0.0,20.0,2.0,Chick Fil-A,12 Piece Grilled Chicken Nuggets
76,430,108,12,4.5,0.0,85,1310,47,5.0,9,33.0,10.0,25.0,25.0,Chick Fil-A,Spicy Grilled Chicken Sub Sandwich
77,450,117,13,6.0,0.0,75,1000,48,4.0,10,34.0,10.0,50.0,25.0,Chick Fil-A,Regular Grilled Chicken Sub Sandwich
78,500,162,18,0.0,0.0,95,1200,46,2.0,10,33.0,45.0,40.0,20.0,Chick Fil-A,Smokehouse BBQ Bacon Sandwich
79,450,171,19,4.0,0.0,60,1620,41,1.0,5,29.0,4.0,2.0,15.0,Chick Fil-A,Spicy Chicken Sandwich
80,540,225,25,8.0,0.0,80,1760,43,2.0,6,34.0,30.0,10.0,30.0,Chick Fil-A,Spicy Deluxe
81,350,126,14,5.0,0.0,60,960,29,15.0,3,37.0,60.0,35.0,35.0,Chick Fil-A,Chargrilled Chicken Cool Wrap
82,860,423,47,16.0,1.0,100,2520,70,2.0,8,39.0,10.0,20.0,30.0,Chick Fil-A,Chicken Enchiladas Meal Kit
83,720,279,31,15.0,0.0,120,1780,65,2.0,7,48.0,10.0,20.0,30.0,Chick Fil-A,Chicken Parmesan Meal Kit
84,710,380,43,17.0,2.0,120,1120,44,2.0,7,35.0,10.0,25.0,30.0,Sonic,Hatch Green Chile Cheeseburger
85,640,330,37,14.0,2.0,100,930,42,2.0,6,31.0,4.0,2.0,20.0,Sonic,Jalapeno Burger
86,340,150,17,6.0,1.0,35,640,34,1.0,6,15.0,2.0,4.0,6.0,Sonic,Jr. Burger
87,410,220,24,9.0,0.5,55,730,32,1.0,4,20.0,7.0,1.0,15.0,Sonic,Jr. Chili Cheeseburger
88,380,200,23,6.0,1.0,40,470,32,1.0,4,15.0,2.0,4.0,6.0,Sonic,Jr. Deluxe Burger
89,450,250,28,9.0,1.0,60,800,33,1.0,4,19.0,6.0,4.0,15.0,Sonic,Jr. Deluxe Cheeseburger
90,600,350,38,16.0,2.0,110,1350,35,1.0,7,31.0,15.0,4.0,25.0,Sonic,Jr. Double Cheeseburger
91,870,530,59,20.0,2.0,140,1350,45,2.0,7,39.0,10.0,8.0,30.0,Sonic,Sonic Bacon Cheeseburger (w/mayo)
92,640,330,37,14.0,2.0,100,790,43,2.0,7,31.0,6.0,8.0,20.0,Sonic,Sonic Burger W/ Mustard
93,650,340,37,14.0,2.0,100,860,46,2.0,10,32.0,8.0,10.0,20.0,Sonic,Sonic Burger W/ Ketchup
94,740,430,48,15.0,2.0,110,760,44,2.0,7,31.0,6.0,8.0,20.0,Sonic,Sonic Burger W/ Mayonnaise
95,710,380,43,17.0,2.0,120,1120,43,2.0,7,35.0,10.0,8.0,30.0,Sonic,Sonic Cheeseburger W/ Mustard
96,720,380,43,17.0,2.0,120,1190,47,2.0,10,35.0,15.0,10.0,30.0,Sonic,Sonic Cheeseburger W/ Ketchup
97,800,480,54,18.0,2.0,130,1090,44,2.0,7,35.0,10.0,8.0,30.0,Sonic,Sonic Cheeseburger W/ Mayonnaise
98,1280,830,92,36.0,4.0,260,1630,44,2.0,7,67.0,15.0,6.0,40.0,Sonic,Super Sonic Bacon Double Cheeseburger (w/mayo)
99,1120,680,76,32.0,4.0,235,1550,44,2.0,8,63.0,15.0,8.0,40.0,Sonic,Super Sonic Double Cheeseburger W/ Mustard
100,1130,680,76,32.0,4.0,235,1620,47,2.0,11,63.0,20.0,10.0,40.0,Sonic,Super Sonic Double Cheeseburger W/ Ketchup
101,1220,780,87,34.0,4.0,245,1520,45,2.0,8,63.0,15.0,8.0,40.0,Sonic,Super Sonic Double Cheeseburger W/ Mayo
102,1120,680,76,32.0,4.0,235,1690,43,2.0,7,63.0,15.0,2.0,40.0,Sonic,Super Sonic Jalapeno Double Cheeseburger
103,450,130,14,4.0,0.0,10,1410,67,5.0,11,15.0,6.0,8.0,25.0,Sonic,Veggie Burger W/ Ketchup
104,450,130,14,4.0,0.0,10,1350,64,5.0,8,15.0,6.0,8.0,27.0,Sonic,Veggie Burger With Mustard
105,450,130,14,4.0,0.0,10,1300,64,5.0,8,15.0,6.0,8.0,25.0,Sonic,Veggie Burger W/ Mustard
106,610,270,30,7.0,0.0,110,1570,44,3.0,8,40.0,11.0,20.0,16.0,Sonic,Grilled Asiago Caesar Chicken Club Sandwich
107,680,350,39,9.0,0.0,80,1120,53,4.0,7,31.0,11.0,7.0,16.0,Sonic,Crispy Asiago Caesar Chicken Club Sandwich
108,430,180,20,4.0,0.0,80,940,33,2.0,6,28.0,6.0,8.0,10.0,Sonic,Grilled Chicken Sandwich
109,570,300,33,5.0,0.0,45,1060,47,4.0,6,23.0,6.0,8.0,10.0,Sonic,Crispy Chicken Sandwich
110,450,220,24,4.0,0.0,35,740,43,1.0,4,19.0,0.0,0.0,4.0,Sonic,Chicken Strip Sandwich
111,280,130,14,2.5,0.0,0,800,16,0.0,0,22.0,10.0,20.0,30.0,Sonic,3 Piece Crispy Chicken Tender Dinner
112,470,220,24,4.5,0.0,0,1340,26,0.0,0,37.0,10.0,20.0,30.0,Sonic,5 Piece Crispy Chicken Tender Dinner
113,740,350,39,8.0,0.0,90,1550,63,4.0,12,33.0,10.0,8.0,15.0,Sonic,Deluxe Ultimate Chicken Sandwich
114,1000,550,61,12.0,0.5,125,4520,70,5.0,12,23.0,10.0,20.0,30.0,Sonic,Buffalo Dunked Ultimate Chicken Sandwich
115,1350,900,100,17.0,0.0,190,2180,69,4.0,10,23.0,10.0,20.0,30.0,Sonic,Garlic Parmesan Dunked Ultimate Chicken Sandwich
116,380,190,22,4.0,0.0,45,1250,27,3.0,1,18.0,0.0,0.0,2.0,Sonic,Small Jumbo Popcorn Chicken
117,560,290,32,6.0,1.0,65,1890,41,5.0,2,27.0,0.0,0.0,4.0,Sonic,Large Jumbo Popcorn Chicken
118,350,150,17,3.0,0.0,45,860,30,2.0,0,21.0,10.0,0.0,2.0,Sonic,Small Spicy Jumbo Popcorn Chicken
119,610,270,30,5.0,0.0,80,1500,51,3.0,0,36.0,17.0,0.0,3.0,Sonic,Large Spicy Jumbo Popcorn Chicken
120,970,410,46,8.0,1.0,55,2160,109,7.0,9,30.0,1.0,6.0,13.0,Sonic,3 Piece Super Crunch Chicken Strip Dinner
121,1080,460,51,9.0,1.0,75,2390,118,8.0,9,37.0,1.0,7.0,13.0,Sonic,4 Piece Super Crunch Chicken Strip Dinner
122,1190,510,57,10.0,1.0,90,2610,126,8.0,9,44.0,2.0,8.0,14.0,Sonic,5 Piece Super Crunch Chicken Strip Dinner
123,330,140,16,3.0,0.0,55,670,25,2.0,0,22.0,1.0,2.0,1.0,Sonic,3 Piece Super Crunch Chicken Strips
124,440,190,21,4.0,0.0,70,900,34,2.0,1,29.0,1.0,2.0,1.0,Sonic,4 Piece Super Crunch Chicken Strips
125,550,240,26,5.0,0.0,90,1120,42,3.0,1,36.0,1.0,3.0,2.0,Sonic,5 Piece Super Crunch Chicken Strips
126,730,350,39,8.0,0.0,90,1540,62,3.0,11,32.0,4.0,2.0,15.0,Sonic,Traditional Ultimate Chicken Sandwich
127,100,580,64,15.0,0.5,100,2070,65,4.0,12,39.0,15.0,8.0,30.0,Sonic,Ultimate Chicken Club
128,370,160,18,7.0,0.0,40,1180,40,1.0,15,12.0,2.0,4.0,8.0,Sonic,"All Beef All-american Style Dog – 6"""
129,430,180,20,7.0,0.0,40,2310,49,1.0,17,14.0,4.0,6.0,10.0,Sonic,"All Beef Chicago Dog – 6"""
130,410,230,26,11.0,0.0,65,1140,30,2.0,4,17.0,10.0,2.0,20.0,Sonic,"All Beef Chili Cheese Coney – 6"""
131,340,170,19,7.0,0.0,40,1250,30,3.0,4,13.0,2.0,10.0,8.0,Sonic,"All Beef New York Dog – 6"""
132,320,160,18,7.0,0.0,40,870,27,1.0,3,11.0,0.0,2.0,8.0,Sonic,"All Beef Regular Hot Dog – 6"""
133,500,240,26,10.0,0.0,50,1410,46,2.0,7,15.0,1.0,3.0,8.0,Sonic,Cheesy Bacon Pretzel Dog - 6 In.
134,210,100,11,4.0,0.0,20,530,23,2.0,4,6.0,0.0,0.0,4.0,Sonic,Corn Dog
135,830,490,54,22.0,1.0,85,1940,54,3.0,9,30.0,15.0,4.0,30.0,Sonic,Footlong Quarter Pound Coney
136,320,160,18,7.0,0.0,35,910,27,1.0,2,11.0,0.0,0.0,4.0,Sonic,The Original Pretzel Dog
137,330,100,11,4.0,0.0,30,920,40,2.0,5,18.0,2.0,0.0,8.0,Arbys,Arby's Melt
138,400,90,10,3.0,0.0,30,1230,58,3.0,23,18.0,4.0,10.0,10.0,Arbys,Arby-Q Sandwich
139,450,180,20,6.0,1.0,50,1280,45,2.0,9,23.0,2.0,2.0,15.0,Arbys,Beef 'n Cheddar Classic
140,630,290,32,11.0,1.5,100,2100,48,2.0,9,39.0,2.0,2.0,15.0,Arbys,Beef 'n Cheddar Mid
141,650,300,33,12.0,1.0,105,1460,51,2.0,15,38.0,10.0,20.0,30.0,Arbys,Bourbon BBQ Brisket Sandwich
142,690,280,31,9.0,0.0,90,1990,66,3.0,16,38.0,10.0,20.0,30.0,Arbys,Bourbon BBQ Chicken Sandwich
143,690,280,31,9.0,0.0,90,1990,66,3.0,16,38.0,10.0,20.0,30.0,Arbys,Bourbon BBQ Steak Sandwich
144,540,220,24,4.5,0.0,60,2110,53,2.0,6,29.0,10.0,20.0,30.0,Arbys,Buttermilk Buffalo Chicken Sandwich
145,650,280,31,9.0,0.0,90,1750,56,2.0,9,39.0,10.0,20.0,30.0,Arbys,Buttermilk Chicken Bacon & Swiss
146,690,310,35,10.0,0.0,110,2000,53,1.0,7,41.0,10.0,20.0,30.0,Arbys,Buttermilk Chicken Cordon Bleu Sandwich
147,550,230,26,4.5,0.0,60,1480,52,2.0,6,29.0,10.0,20.0,30.0,Arbys,Buttermilk Crispy Chicken Sandwich
148,540,210,23,11.0,1.0,85,2500,50,2.0,3,35.0,2.0,8.0,15.0,Arbys,Classic French Dip & Swiss/Au Jus
149,360,120,14,5.0,0.5,50,970,37,2.0,5,23.0,0.0,0.0,6.0,Arbys,Classic Roast Beef
150,510,210,24,9.0,1.5,95,1610,38,2.0,5,38.0,0.0,0.0,6.0,Arbys,Double Roast Beef
151,640,290,32,11.0,0.5,105,1950,46,3.0,4,42.0,10.0,20.0,30.0,Arbys,Fire-Roasted Philly Steak
152,480,220,24,7.0,0.0,65,1610,37,2.0,9,30.0,15.0,10.0,15.0,Arbys,Grand Turkey Club
153,710,390,44,13.0,0.0,75,1360,55,4.0,6,23.0,10.0,20.0,30.0,Arbys,Greek Gyro
154,740,350,39,14.0,2.0,130,2530,48,2.0,9,49.0,10.0,20.0,30.0,Arbys,Half Pound Beef 'n Cheddar Sandwich
155,750,330,36,17.0,2.0,150,3350,51,2.0,3,55.0,10.0,20.0,30.0,Arbys,Half Pound French Dip & Swiss
156,610,270,30,12.0,2.0,130,2040,38,2.0,5,48.0,10.0,20.0,30.0,Arbys,Half Pound Roast Beef Sandwich
157,300,80,9,4.0,0.0,35,1030,37,2.0,6,18.0,2.0,0.0,15.0,Arbys,Ham & Swiss Melt
158,680,360,40,14.0,0.5,100,2270,49,3.0,7,32.0,10.0,20.0,30.0,Arbys,Loaded Italian Sandwich
159,710,410,46,7.0,0.5,65,980,53,4.0,9,22.0,10.0,20.0,30.0,Arbys,Pecan Chicken Salad Flatbread
160,840,400,44,6.0,0.5,75,1210,81,6.0,20,33.0,10.0,8.0,25.0,Arbys,Pecan Chicken Salad Sandwich
161,240,100,11,1.5,0.0,30,640,19,1.0,0,16.0,0.0,0.0,2.0,Arbys,2 piece Prime-Cut Chicken Tenders
162,360,150,17,2.5,0.0,45,950,28,2.0,0,23.0,0.0,4.0,2.0,Arbys,3 piece Prime-Cut Chicken Tenders
163,600,250,28,4.0,0.0,75,1590,47,3.0,0,39.0,0.0,8.0,2.0,Arbys,5 piece Prime-Cut Chicken Tenders
164,680,280,31,8.0,0.5,80,2420,62,4.0,5,37.0,6.0,20.0,35.0,Arbys,Reuben Sandwich
165,550,260,29,7.0,1.0,60,1290,48,3.0,5,24.0,10.0,15.0,10.0,Arbys,Roast Beef Gyro
166,710,260,28,7.0,0.0,65,1930,79,5.0,15,38.0,20.0,10.0,45.0,Arbys,Roast Turkey & Swiss Sandwich
167,520,240,27,9.0,0.0,65,1640,39,4.0,6,30.0,20.0,10.0,35.0,Arbys,Roast Turkey & Swiss Wrap
168,800,310,34,10.0,0.5,80,2420,79,5.0,16,45.0,20.0,10.0,45.0,Arbys,"Roast Turkey, Ranch & Bacon Sandwich"
169,620,310,34,11.0,0.5,85,2130,39,4.0,6,37.0,20.0,10.0,30.0,Arbys,"Roast Turkey, Ranch & Bacon Wrap"
170,740,320,35,13.0,1.0,125,2050,62,4.0,17,43.0,10.0,20.0,30.0,Arbys,Smoke Mountain w/ Beef Short Rib
171,590,250,59,10.0,1.0,75,1510,59,4.0,14,26.0,10.0,20.0,30.0,Arbys,Smokehouse Beef Short Rib Sandwich
172,600,310,35,12.0,1.0,110,1240,42,2.0,7,33.0,4.0,8.0,20.0,Arbys,Smokehouse Brisket
173,430,160,17,5.0,1.0,45,1060,45,3.0,11,23.0,10.0,10.0,8.0,Arbys,Super Roast Beef
174,650,320,36,15.0,1.0,115,1760,44,2.0,9,30.0,10.0,20.0,30.0,Arbys,Three Cheese Steak Sandwich
175,1030,459,51,17.0,1.0,155,2940,83,5.0,19,62.0,10.0,20.0,30.0,Arbys,Triple Decker Sandwich
176,730,252,28,6.0,0.0,65,2140,80,6.0,16,41.0,10.0,20.0,30.0,Arbys,Turkey Avocado Club
177,470,180,20,3.5,0.0,45,1520,48,3.0,5,25.0,10.0,15.0,10.0,Arbys,Turkey Gyro
178,980,495,55,14.0,0.0,85,2130,80,6.0,19,43.0,10.0,20.0,30.0,Arbys,Ultimate BLT
179,290,120,13,2.0,0.0,20,860,31,2.0,2,12.0,10.0,20.0,30.0,Arbys,Buffalo Chicken Slider
180,290,110,12,3.5,0.0,25,720,30,1.0,1,15.0,10.0,20.0,30.0,Arbys,Chicken Tender 'n Cheese Slider
181,220,80,9,3.5,0.0,30,890,21,1.0,1,14.0,10.0,20.0,30.0,Arbys,Corned Beef 'n Cheese Slider
182,210,70,8,3.0,0.0,25,780,21,1.0,2,13.0,10.0,20.0,30.0,Arbys,Ham 'n Cheese Slider
183,240,90,11,4.5,0.0,30,670,21,1.0,1,14.0,10.0,20.0,30.0,Arbys,Jalapeno Roast Beef 'n Cheese Slider
184,300,150,17,6.0,0.0,35,930,23,1.0,2,13.0,10.0,20.0,30.0,Arbys,Pizza Slider
185,240,90,11,4.5,0.0,30,670,21,1.0,1,14.0,10.0,20.0,30.0,Arbys,Roast Beef 'n Cheese Slider
186,200,60,7,2.5,0.0,25,760,21,1.0,2,14.0,10.0,20.0,30.0,Arbys,Turkey 'n Cheese Slider
187,70,45,5,2.5,0.0,15,100,4,1.0,2,5.0,35.0,10.0,10.0,Arbys,Chopped Side Salad
188,430,220,24,8.0,0.0,65,1000,26,4.0,4,28.0,60.0,20.0,25.0,Arbys,Crispy Chicken Farmhouse Salad
189,420,340,37,9.0,0.0,55,700,11,2.0,4,10.0,10.0,20.0,30.0,Arbys,Greek Gyro Salad
190,230,120,13,7.0,0.0,55,870,8,2.0,5,22.0,60.0,20.0,25.0,Arbys,Roast Turkey Farmhouse Salad
191,720,480,53,15.0,0.0,85,1310,39,5.0,7,22.0,10.0,20.0,30.0,Arbys,Super Greek Salad
192,1550,1134,126,47.0,8.0,805,1820,21,3.0,7,134.0,10.0,20.0,30.0,Burger King,American Brewhouse King
193,1000,585,65,24.0,3.0,200,1320,48,2.0,8,56.0,10.0,20.0,30.0,Burger King,Bacon & Swiss Sourdough King
194,330,140,16,7.0,0.0,55,830,32,1.0,7,18.0,10.0,20.0,30.0,Burger King,Bacon Cheeseburger
195,290,120,14,6.0,0.5,40,720,28,1.0,7,12.0,10.0,20.0,30.0,Burger King,Bacon Cheeseburger Deluxe
196,1040,630,48,28.0,2.5,220,1900,48,1.0,10,57.0,10.0,20.0,30.0,Burger King,Bacon King
197,730,351,39,9.0,0.0,90,1930,63,0.0,16,32.0,10.0,20.0,30.0,Burger King,Bacon King Jr
198,1100,675,75,29.0,3.0,220,1850,51,2.0,13,57.0,10.0,20.0,30.0,Burger King,BBQ Bacon King
199,300,130,14,6.0,0.0,45,710,28,1.0,6,16.0,10.0,20.0,30.0,Burger King,Cheeseburger
200,520,280,31,14.0,1.0,105,1180,33,1.0,8,31.0,10.0,20.0,30.0,Burger King,Double Bacon Cheeseburger
201,450,230,26,12.0,1.0,95,960,29,1.0,6,26.0,10.0,20.0,30.0,Burger King,Double Cheeseburger
202,360,160,18,8.0,0.0,70,520,28,1.0,6,22.0,10.0,20.0,30.0,Burger King,Double Hamburger
